fecha,IdEmp,numAula,dia,hora_ini,hora_fin
13/05/2013,8950,1,1,07:00,08:30
13/05/2013,2961,2,1,07:00,08:30
13/05/2013,7955,3,1,07:00,08:30
13/05/2013,7763,4,1,07:00,08:30
13/05/2013,6341,5,1,07:00,08:30
13/05/2013,905,6,1,07:00,08:30
13/05/2013,2575,6,1,07:00,08:30
13/05/2013,2796,6,1,07:00,08:30
13/05/2013,9086,7,1,07:00,08:30
13/05/2013,8182,8,1,07:00,08:30
13/05/2013,6822,9,1,07:00,08:30
13/05/2013,7969,10,1,07:00,08:30
13/05/2013,8989,11,1,07:00,08:30
13/05/2013,8455,12,1,07:00,08:30
13/05/2013,2170,13,1,07:00,08:30
13/05/2013,8692,14,1,07:00,08:30
13/05/2013,2941,15,1,07:00,08:30
13/05/2013,7117,16,1,07:00,08:30
13/05/2013,8182,17,1,07:00,08:30
13/05/2013,2482,18,1,07:00,08:30
13/05/2013,9108,19,1,07:00,08:30
13/05/2013,8281,19,1,07:00,08:30
13/05/2013,6178,20,1,07:00,08:30
13/05/2013,6556,21,1,07:00,08:30
13/05/2013,6870,22,1,07:00,08:30
13/05/2013,3938,23,1,07:00,08:30
13/05/2013,8182,24,1,07:00,08:30
13/05/2013,8182,25,1,07:00,08:30
13/05/2013,2780,26,1,07:00,08:30
13/05/2013,8461,27,1,07:00,08:30
13/05/2013,1737,28,1,07:00,08:30
14/05/2013,8461,1,2,07:00,08:30
14/05/2013,2796,2,2,07:00,08:30
14/05/2013,7969,3,2,07:00,08:30
14/05/2013,8261,4,2,07:00,08:30
14/05/2013,905,4,2,07:00,08:30
14/05/2013,7763,4,2,07:00,08:30
14/05/2013,8182,5,2,07:00,08:30
14/05/2013,8182,6,2,07:00,08:30
14/05/2013,8177,7,2,07:00,08:30
14/05/2013,8455,8,2,07:00,08:30
14/05/2013,2575,8,2,07:00,08:30
14/05/2013,8726,8,2,07:00,08:30
14/05/2013,9086,9,2,07:00,08:30
14/05/2013,6178,10,2,07:00,08:30
14/05/2013,6822,11,2,07:00,08:30
14/05/2013,2170,12,2,07:00,08:30
14/05/2013,2941,13,2,07:00,08:30
14/05/2013,9105,14,2,07:00,08:30
14/05/2013,9116,15,2,07:00,08:30
14/05/2013,1234,16,2,07:00,08:30
14/05/2013,6313,17,2,07:00,08:30
14/05/2013,8182,18,2,07:00,08:30
14/05/2013,8182,19,2,07:00,08:30
14/05/2013,8281,20,2,07:00,08:30
14/05/2013,9108,20,2,07:00,08:30
14/05/2013,6996,21,2,07:00,08:30
14/05/2013,6691,22,2,07:00,08:30
14/05/2013,8989,23,2,07:00,08:30
14/05/2013,2891,24,2,07:00,08:30
14/05/2013,3938,25,2,07:00,08:30
14/05/2013,8182,26,2,07:00,08:30
14/05/2013,8991,27,2,07:00,08:30
14/05/2013,1654,28,2,07:00,08:30
16/05/2013,8950,1,4,07:00,08:30
16/05/2013,2961,2,4,07:00,08:30
16/05/2013,9116,3,4,07:00,08:30
16/05/2013,9108,4,4,07:00,08:30
16/05/2013,8281,4,4,07:00,08:30
16/05/2013,8177,5,4,07:00,08:30
16/05/2013,6556,6,4,07:00,08:30
16/05/2013,8991,7,4,07:00,08:30
16/05/2013,7955,8,4,07:00,08:30
16/05/2013,8461,9,4,07:00,08:30
16/05/2013,7969,10,4,07:00,08:30
16/05/2013,9105,11,4,07:00,08:30
16/05/2013,6178,12,4,07:00,08:30
16/05/2013,2170,13,4,07:00,08:30
16/05/2013,8182,14,4,07:00,08:30
16/05/2013,8989,15,4,07:00,08:30
16/05/2013,1234,16,4,07:00,08:30
16/05/2013,8726,17,4,07:00,08:30
16/05/2013,905,17,4,07:00,08:30
16/05/2013,2575,17,4,07:00,08:30
16/05/2013,6691,18,4,07:00,08:30
16/05/2013,6313,19,4,07:00,08:30
16/05/2013,8455,20,4,07:00,08:30
16/05/2013,2941,21,4,07:00,08:30
16/05/2013,2796,22,4,07:00,08:30
16/05/2013,3938,23,4,07:00,08:30
16/05/2013,8692,24,4,07:00,08:30
16/05/2013,2482,25,4,07:00,08:30
16/05/2013,2780,26,4,07:00,08:30
16/05/2013,9086,27,4,07:00,08:30
16/05/2013,6870,28,4,07:00,08:30
17/05/2013,2482,1,5,07:00,08:30
17/05/2013,9086,2,5,07:00,08:30
17/05/2013,7955,3,5,07:00,08:30
17/05/2013,6178,4,5,07:00,08:30
17/05/2013,1737,5,5,07:00,08:30
17/05/2013,2575,6,5,07:00,08:30
17/05/2013,7969,7,5,07:00,08:30
17/05/2013,8182,8,5,07:00,08:30
17/05/2013,8989,9,5,07:00,08:30
17/05/2013,8182,10,5,07:00,08:30
17/05/2013,8950,11,5,07:00,08:30
17/05/2013,9107,12,5,07:00,08:30
17/05/2013,8281,13,5,07:00,08:30
17/05/2013,9108,13,5,07:00,08:30
17/05/2013,2796,14,5,07:00,08:30
17/05/2013,7763,14,5,07:00,08:30
17/05/2013,8990,14,5,07:00,08:30
17/05/2013,9116,15,5,07:00,08:30
17/05/2013,8182,16,5,07:00,08:30
17/05/2013,6341,17,5,07:00,08:30
17/05/2013,8177,18,5,07:00,08:30
17/05/2013,2961,19,5,07:00,08:30
17/05/2013,8455,20,5,07:00,08:30
17/05/2013,6313,21,5,07:00,08:30
17/05/2013,6870,22,5,07:00,08:30
17/05/2013,3938,23,5,07:00,08:30
17/05/2013,2170,24,5,07:00,08:30
17/05/2013,8726,25,5,07:00,08:30
17/05/2013,905,25,5,07:00,08:30
17/05/2013,8261,25,5,07:00,08:30
17/05/2013,1234,26,5,07:00,08:30
17/05/2013,8461,27,5,07:00,08:30
17/05/2013,8182,28,5,07:00,08:30
20/05/2013,8950,1,1,07:00,08:30
20/05/2013,2961,2,1,07:00,08:30
20/05/2013,7955,3,1,07:00,08:30
20/05/2013,7763,4,1,07:00,08:30
20/05/2013,6341,5,1,07:00,08:30
20/05/2013,2796,6,1,07:00,08:30
20/05/2013,2575,6,1,07:00,08:30
20/05/2013,905,6,1,07:00,08:30
20/05/2013,9086,7,1,07:00,08:30
20/05/2013,8182,8,1,07:00,08:30
20/05/2013,6822,9,1,07:00,08:30
20/05/2013,7969,10,1,07:00,08:30
20/05/2013,8989,11,1,07:00,08:30
20/05/2013,8455,12,1,07:00,08:30
20/05/2013,2170,13,1,07:00,08:30
20/05/2013,8692,14,1,07:00,08:30
20/05/2013,2941,15,1,07:00,08:30
20/05/2013,7117,16,1,07:00,08:30
20/05/2013,8182,17,1,07:00,08:30
20/05/2013,2482,18,1,07:00,08:30
20/05/2013,9108,19,1,07:00,08:30
20/05/2013,8281,19,1,07:00,08:30
20/05/2013,6178,20,1,07:00,08:30
20/05/2013,6556,21,1,07:00,08:30
20/05/2013,6870,22,1,07:00,08:30
20/05/2013,3938,23,1,07:00,08:30
20/05/2013,8182,24,1,07:00,08:30
20/05/2013,8182,25,1,07:00,08:30
20/05/2013,2780,26,1,07:00,08:30
20/05/2013,8461,27,1,07:00,08:30
20/05/2013,1737,28,1,07:00,08:30
21/05/2013,8461,1,2,07:00,08:30
21/05/2013,2796,2,2,07:00,08:30
21/05/2013,7969,3,2,07:00,08:30
21/05/2013,8261,4,2,07:00,08:30
21/05/2013,905,4,2,07:00,08:30
21/05/2013,7763,4,2,07:00,08:30
21/05/2013,8182,5,2,07:00,08:30
21/05/2013,8182,6,2,07:00,08:30
21/05/2013,8455,8,2,07:00,08:30
21/05/2013,2575,8,2,07:00,08:30
21/05/2013,8177,7,2,07:00,08:30
21/05/2013,8455,8,2,07:00,08:30
21/05/2013,9086,9,2,07:00,08:30
21/05/2013,6178,10,2,07:00,08:30
21/05/2013,6822,11,2,07:00,08:30
21/05/2013,2170,12,2,07:00,08:30
21/05/2013,2941,13,2,07:00,08:30
21/05/2013,9105,14,2,07:00,08:30
21/05/2013,9116,15,2,07:00,08:30
21/05/2013,1234,16,2,07:00,08:30
21/05/2013,6313,17,2,07:00,08:30
21/05/2013,8182,18,2,07:00,08:30
21/05/2013,8182,19,2,07:00,08:30
21/05/2013,8281,20,2,07:00,08:30
21/05/2013,9108,20,2,07:00,08:30
21/05/2013,6996,21,2,07:00,08:30
21/05/2013,6691,22,2,07:00,08:30
21/05/2013,8989,23,2,07:00,08:30
21/05/2013,2891,24,2,07:00,08:30
21/05/2013,3938,25,2,07:00,08:30
21/05/2013,8182,26,2,07:00,08:30
21/05/2013,8991,27,2,07:00,08:30
21/05/2013,1654,28,2,07:00,08:30
22/05/2013,6556,1,3,07:00,08:30
22/05/2013,9086,2,3,07:00,08:30
22/05/2013,9116,3,3,07:00,08:30
22/05/2013,9107,4,3,07:00,08:30
22/05/2013,8455,5,3,07:00,08:30
22/05/2013,3938,6,3,07:00,08:30
22/05/2013,8991,7,3,07:00,08:30
22/05/2013,2961,8,3,07:00,08:30
22/05/2013,8989,9,3,07:00,08:30
22/05/2013,8461,10,3,07:00,08:30
22/05/2013,8692,11,3,07:00,08:30
22/05/2013,6178,12,3,07:00,08:30
22/05/2013,1234,13,3,07:00,08:30
22/05/2013,8182,14,3,07:00,08:30
22/05/2013,7955,15,3,07:00,08:30
22/05/2013,8182,16,3,07:00,08:30
22/05/2013,6870,17,3,07:00,08:30
22/05/2013,8182,18,3,07:00,08:30
22/05/2013,905,19,3,07:00,08:30
22/05/2013,2796,19,3,07:00,08:30
22/05/2013,8261,19,3,07:00,08:30
22/05/2013,7969,20,3,07:00,08:30
22/05/2013,7763,21,3,07:00,08:30
22/05/2013,2575,21,3,07:00,08:30
22/05/2013,2941,21,3,07:00,08:30
22/05/2013,8182,22,3,07:00,08:30
22/05/2013,8177,23,3,07:00,08:30
22/05/2013,8950,24,3,07:00,08:30
22/05/2013,6341,25,3,07:00,08:30
22/05/2013,1654,26,3,07:00,08:30
22/05/2013,8281,27,3,07:00,08:30
22/05/2013,8281,27,3,07:00,08:30
22/05/2013,6691,28,3,07:00,08:30
13/05/2013,648,1,1,14:00,15:30
13/05/2013,8182,2,1,14:00,15:30
13/05/2013,8882,3,1,14:00,15:30
13/05/2013,1346,3,1,14:00,15:30
13/05/2013,8951,3,1,14:00,15:30
13/05/2013,6881,4,1,14:00,15:30
13/05/2013,6741,5,1,14:00,15:30
13/05/2013,2888,6,1,14:00,15:30
13/05/2013,6526,7,1,14:00,15:30
13/05/2013,1737,8,1,14:00,15:30
13/05/2013,8990,8,1,14:00,15:30
13/05/2013,430,8,1,14:00,15:30
13/05/2013,6515,9,1,14:00,15:30
13/05/2013,7761,10,1,14:00,15:30
13/05/2013,9394,11,1,14:00,15:30
13/05/2013,2780,12,1,14:00,15:30
13/05/2013,2364,13,1,14:00,15:30
13/05/2013,3908,14,1,14:00,15:30
13/05/2013,7379,15,1,14:00,15:30
13/05/2013,6556,16,1,14:00,15:30
13/05/2013,2550,17,1,14:00,15:30
13/05/2013,8701,18,1,14:00,15:30
13/05/2013,8460,19,1,14:00,15:30
13/05/2013,9033,20,1,14:00,15:30
13/05/2013,7474,21,1,14:00,15:30
13/05/2013,7955,22,1,14:00,15:30
14/05/2013,6515,1,2,14:00,15:30
14/05/2013,2888,2,2,14:00,15:30
14/05/2013,6526,3,2,14:00,15:30
14/05/2013,7379,4,2,14:00,15:30
14/05/2013,577,5,2,14:00,15:30
14/05/2013,2550,6,2,14:00,15:30
14/05/2013,7474,7,2,14:00,15:30
14/05/2013,9964,8,2,14:00,15:30
14/05/2013,7972,9,2,14:00,15:30
14/05/2013,2780,10,2,14:00,15:30
14/05/2013,6741,11,2,14:00,15:30
14/05/2013,430,12,2,14:00,15:30
14/05/2013,894,12,2,14:00,15:30
14/05/2013,648,12,2,14:00,15:30
14/05/2013,9033,13,2,14:00,15:30
14/05/2013,8701,14,2,14:00,15:30
14/05/2013,6881,15,2,14:00,15:30
14/05/2013,2173,16,2,14:00,15:30
14/05/2013,8951,16,2,14:00,15:30
14/05/2013,1346,16,2,14:00,15:30
14/05/2013,9138,17,2,14:00,15:30
14/05/2013,2473,18,2,14:00,15:30
14/05/2013,8182,19,2,14:00,15:30
14/05/2013,8182,20,2,14:00,15:30
14/05/2013,3938,21,2,14:00,15:30
14/05/2013,7763,22,2,14:00,15:30
16/05/2013,6526,1,4,14:00,15:30
16/05/2013,430,2,4,14:00,15:30
16/05/2013,894,2,4,14:00,15:30
16/05/2013,2550,2,4,14:00,15:30
16/05/2013,7098,3,4,14:00,15:30
16/05/2013,8951,4,4,14:00,15:30
16/05/2013,2173,4,4,14:00,15:30
16/05/2013,2891,4,4,14:00,15:30
16/05/2013,9138,5,4,14:00,15:30
16/05/2013,9033,6,4,14:00,15:30
16/05/2013,7474,7,4,14:00,15:30
16/05/2013,2888,8,4,14:00,15:30
16/05/2013,7582,9,4,14:00,15:30
16/05/2013,2780,10,4,14:00,15:30
16/05/2013,9394,11,4,14:00,15:30
16/05/2013,8701,12,4,14:00,15:30
16/05/2013,6881,13,4,14:00,15:30
16/05/2013,648,14,4,14:00,15:30
16/05/2013,577,15,4,14:00,15:30
16/05/2013,9964,16,4,14:00,15:30
16/05/2013,1346,17,4,14:00,15:30
16/05/2013,2473,18,4,14:00,15:30
16/05/2013,2406,19,4,14:00,15:30
16/05/2013,3908,20,4,14:00,15:30
16/05/2013,6741,21,4,14:00,15:30
16/05/2013,8466,22,4,14:00,15:30
17/05/2013,2888,1,5,14:00,15:30
17/05/2013,3841,2,5,14:00,15:30
17/05/2013,9138,3,5,14:00,15:30
17/05/2013,7582,4,5,14:00,15:30
17/05/2013,838,5,5,14:00,15:30
17/05/2013,8951,6,5,14:00,15:30
17/05/2013,8882,6,5,14:00,15:30
17/05/2013,6515,6,5,14:00,15:30
17/05/2013,648,7,5,14:00,15:30
17/05/2013,577,8,5,14:00,15:30
17/05/2013,6741,9,5,14:00,15:30
17/05/2013,7761,10,5,14:00,15:30
17/05/2013,7379,11,5,14:00,15:30
17/05/2013,6526,12,5,14:00,15:30
17/05/2013,9964,13,5,14:00,15:30
17/05/2013,3908,14,5,14:00,15:30
17/05/2013,6881,15,5,14:00,15:30
17/05/2013,430,16,5,14:00,15:30
17/05/2013,2550,16,5,14:00,15:30
17/05/2013,894,16,5,14:00,15:30
17/05/2013,1346,17,5,14:00,15:30
17/05/2013,7098,18,5,14:00,15:30
17/05/2013,8701,19,5,14:00,15:30
17/05/2013,9033,20,5,14:00,15:30
17/05/2013,7972,21,5,14:00,15:30
17/05/2013,7955,22,5,14:00,15:30
20/05/2013,648,1,1,14:00,15:30
20/05/2013,8182,2,1,14:00,15:30
20/05/2013,1346,3,1,14:00,15:30
20/05/2013,8882,3,1,14:00,15:30
20/05/2013,8951,3,1,14:00,15:30
20/05/2013,6881,4,1,14:00,15:30
20/05/2013,6741,5,1,14:00,15:30
20/05/2013,2888,6,1,14:00,15:30
20/05/2013,6526,7,1,14:00,15:30
20/05/2013,430,8,1,14:00,15:30
20/05/2013,8990,8,1,14:00,15:30
20/05/2013,1737,8,1,14:00,15:30
20/05/2013,6515,9,1,14:00,15:30
20/05/2013,7761,10,1,14:00,15:30
20/05/2013,9394,11,1,14:00,15:30
20/05/2013,2780,12,1,14:00,15:30
20/05/2013,2364,13,1,14:00,15:30
20/05/2013,3908,14,1,14:00,15:30
20/05/2013,7379,15,1,14:00,15:30
20/05/2013,6556,16,1,14:00,15:30
20/05/2013,2550,17,1,14:00,15:30
20/05/2013,8701,18,1,14:00,15:30
20/05/2013,8460,19,1,14:00,15:30
20/05/2013,9033,20,1,14:00,15:30
20/05/2013,7474,21,1,14:00,15:30
20/05/2013,7955,22,1,14:00,15:30
21/05/2013,6515,1,2,14:00,15:30
21/05/2013,2888,2,2,14:00,15:30
21/05/2013,6526,3,2,14:00,15:30
21/05/2013,7379,4,2,14:00,15:30
21/05/2013,577,5,2,14:00,15:30
21/05/2013,2550,6,2,14:00,15:30
21/05/2013,7474,7,2,14:00,15:30
21/05/2013,9964,8,2,14:00,15:30
21/05/2013,7972,9,2,14:00,15:30
21/05/2013,2780,10,2,14:00,15:30
21/05/2013,6741,11,2,14:00,15:30
21/05/2013,430,12,2,14:00,15:30
21/05/2013,894,12,2,14:00,15:30
21/05/2013,648,12,2,14:00,15:30
21/05/2013,9033,13,2,14:00,15:30
21/05/2013,8701,14,2,14:00,15:30
21/05/2013,6881,15,2,14:00,15:30
21/05/2013,2173,16,2,14:00,15:30
21/05/2013,8951,16,2,14:00,15:30
21/05/2013,1346,16,2,14:00,15:30
21/05/2013,9138,17,2,14:00,15:30
21/05/2013,2473,18,2,14:00,15:30
21/05/2013,8182,19,2,14:00,15:30
21/05/2013,8182,20,2,14:00,15:30
21/05/2013,3938,21,2,14:00,15:30
21/05/2013,7763,22,2,14:00,15:30
22/05/2013,648,1,3,14:00,15:30
22/05/2013,2473,2,3,14:00,15:30
22/05/2013,6881,3,3,14:00,15:30
22/05/2013,7582,4,3,14:00,15:30
22/05/2013,838,5,3,14:00,15:30
22/05/2013,9033,6,3,14:00,15:30
22/05/2013,8182,7,3,14:00,15:30
22/05/2013,1737,8,3,14:00,15:30
22/05/2013,6515,9,3,14:00,15:30
22/05/2013,2550,10,3,14:00,15:30
22/05/2013,8990,10,3,14:00,15:30
22/05/2013,7379,10,3,14:00,15:30
22/05/2013,7972,11,3,14:00,15:30
22/05/2013,8951,12,3,14:00,15:30
22/05/2013,2364,13,3,14:00,15:30
22/05/2013,7761,14,3,14:00,15:30
22/05/2013,577,15,3,14:00,15:30
22/05/2013,894,16,3,14:00,15:30
22/05/2013,430,17,3,14:00,15:30
22/05/2013,1346,17,3,14:00,15:30
22/05/2013,8882,17,3,14:00,15:30
22/05/2013,9964,18,3,14:00,15:30
22/05/2013,8460,19,3,14:00,15:30
22/05/2013,3908,20,3,14:00,15:30
22/05/2013,9394,21,3,14:00,15:30
22/05/2013,7763,22,3,14:00,15:30
13/05/2013,648,1,1,07:00,08:30
13/05/2013,6827,2,1,07:00,08:30
13/05/2013,9267,3,1,07:00,08:30
13/05/2013,9976,4,1,07:00,08:30
13/05/2013,6554,7,1,07:00,08:30
13/05/2013,2943,8,1,07:00,08:30
13/05/2013,8182,18,1,07:00,08:30
13/05/2013,8182,19,1,07:00,08:30
13/05/2013,6554,5,1,08:30,10:00
13/05/2013,9107,6,1,08:30,10:00
13/05/2013,8182,9,1,08:30,10:00
13/05/2013,8182,10,1,14:00,15:30
13/05/2013,3628,12,1,14:00,15:30
13/05/2013,8182,13,1,14:00,15:30
13/05/2013,8182,14,1,14:00,15:30
13/05/2013,3841,15,1,14:00,15:30
13/05/2013,2797,16,1,14:00,15:30
13/05/2013,8182,17,1,14:00,15:30
13/05/2013,8466,20,1,14:00,15:30
14/05/2013,2943,1,2,07:00,08:30
14/05/2013,2780,2,2,07:00,08:30
14/05/2013,8182,3,2,07:00,08:30
14/05/2013,9976,4,2,07:00,08:30
14/05/2013,8182,5,2,07:00,08:30
14/05/2013,8808,6,2,07:00,08:30
14/05/2013,1291,7,2,07:00,08:30
14/05/2013,9267,8,2,07:00,08:30
14/05/2013,851,9,2,07:00,08:30
14/05/2013,7376,10,2,07:00,08:30
14/05/2013,8182,11,2,07:00,08:30
14/05/2013,8182,12,2,07:00,08:30
14/05/2013,7381,13,2,07:00,08:30
14/05/2013,2797,14,2,07:00,08:30
14/05/2013,8182,15,2,07:00,08:30
14/05/2013,6323,16,2,07:00,08:30
14/05/2013,8182,17,2,07:00,08:30
14/05/2013,9107,18,2,07:00,08:30
14/05/2013,6996,19,2,07:00,08:30
14/05/2013,8466,20,2,07:00,08:30
14/05/2013,2943,1,2,14:00,15:30
14/05/2013,2780,2,2,14:00,15:30
14/05/2013,8182,3,2,14:00,15:30
14/05/2013,9976,4,2,14:00,15:30
14/05/2013,8182,5,2,14:00,15:30
14/05/2013,8808,6,2,14:00,15:30
14/05/2013,1291,7,2,14:00,15:30
14/05/2013,9267,8,2,14:00,15:30
14/05/2013,851,9,2,14:00,15:30
14/05/2013,3628,10,2,14:00,15:30
14/05/2013,8882,10,2,14:00,15:30
14/05/2013,7376,10,2,14:00,15:30
14/05/2013,8182,11,2,14:00,15:30
14/05/2013,8182,12,2,14:00,15:30
14/05/2013,7381,13,2,14:00,15:30
14/05/2013,2797,14,2,14:00,15:30
14/05/2013,8182,15,2,14:00,15:30
14/05/2013,6323,16,2,14:00,15:30
14/05/2013,8182,17,2,14:00,15:30
14/05/2013,9107,18,2,14:00,15:30
14/05/2013,6996,19,2,14:00,15:30
14/05/2013,8466,20,2,14:00,15:30
16/05/2013,6827,1,4,07:00,08:30
16/05/2013,6554,2,4,07:00,08:30
16/05/2013,9107,3,4,07:00,08:30
16/05/2013,1291,4,4,07:00,08:30
16/05/2013,3841,5,4,07:00,08:30
16/05/2013,6996,6,4,07:00,08:30
16/05/2013,9267,7,4,07:00,08:30
16/05/2013,8182,8,4,07:00,08:30
16/05/2013,8182,9,4,07:00,08:30
16/05/2013,851,10,4,07:00,08:30
16/05/2013,6323,11,4,07:00,08:30
16/05/2013,8493,12,4,07:00,08:30
16/05/2013,8182,13,4,07:00,08:30
16/05/2013,8182,14,4,07:00,08:30
16/05/2013,8182,15,4,07:00,08:30
16/05/2013,8882,16,4,07:00,08:30
16/05/2013,3628,17,4,07:00,08:30
16/05/2013,2797,18,4,07:00,08:30
16/05/2013,9398,19,4,07:00,08:30
16/05/2013,7972,20,4,07:00,08:30
16/05/2013,6827,1,4,14:00,15:30
16/05/2013,6554,2,4,14:00,15:30
16/05/2013,9107,3,4,14:00,15:30
16/05/2013,1291,4,4,14:00,15:30
16/05/2013,3841,5,4,14:00,15:30
16/05/2013,6996,6,4,14:00,15:30
16/05/2013,9267,7,4,14:00,15:30
16/05/2013,8182,8,4,14:00,15:30
16/05/2013,8182,9,4,14:00,15:30
16/05/2013,851,10,4,14:00,15:30
16/05/2013,6323,11,4,14:00,15:30
16/05/2013,8493,12,4,14:00,15:30
16/05/2013,8182,13,4,14:00,15:30
16/05/2013,8182,14,4,14:00,15:30
16/05/2013,8182,15,4,14:00,15:30
16/05/2013,7376,16,4,14:00,15:30
16/05/2013,8460,16,4,14:00,15:30
16/05/2013,6515,16,4,14:00,15:30
16/05/2013,8882,16,4,14:00,15:30
16/05/2013,3628,17,4,14:00,15:30
16/05/2013,2797,18,4,14:00,15:30
16/05/2013,9398,19,4,14:00,15:30
16/05/2013,7972,20,4,14:00,15:30
17/05/2013,8182,3,5,07:00,08:30
17/05/2013,8182,4,5,07:00,08:30
17/05/2013,6554,5,5,07:00,08:30
17/05/2013,9976,6,5,07:00,08:30
17/05/2013,8182,10,5,07:00,08:30
17/05/2013,8182,13,5,07:00,08:30
17/05/2013,8182,14,5,07:00,08:30
17/05/2013,8182,15,5,07:00,08:30
17/05/2013,8182,1,5,14:00,15:30
17/05/2013,8182,2,5,14:00,15:30
17/05/2013,8182,7,5,14:00,15:30
17/05/2013,8182,8,5,14:00,15:30
17/05/2013,8182,11,5,14:00,15:30
17/05/2013,8182,12,5,14:00,15:30
17/05/2013,7763,16,5,14:00,15:30
17/05/2013,9394,16,5,14:00,15:30
17/05/2013,851,16,5,14:00,15:30
17/05/2013,7381,17,5,14:00,15:30
17/05/2013,6996,18,5,14:00,15:30
17/05/2013,8182,19,5,14:00,15:30
17/05/2013,8466,20,5,14:00,15:30
20/05/2013,9267,3,1,07:00,08:30
20/05/2013,9976,4,1,07:00,08:30
20/05/2013,8182,5,1,07:00,08:30
20/05/2013,8808,6,1,07:00,08:30
20/05/2013,2943,8,1,07:00,08:30
20/05/2013,8182,12,1,07:00,08:30
20/05/2013,8182,18,1,07:00,08:30
20/05/2013,8182,19,1,07:00,08:30
20/05/2013,6827,1,1,08:30,10:00
20/05/2013,1291,2,1,08:30,10:00
20/05/2013,648,7,1,08:30,10:00
20/05/2013,8182,20,1,08:30,10:00
20/05/2013,8182,9,1,14:00,15:30
20/05/2013,8182,10,1,14:00,15:30
20/05/2013,8182,11,1,14:00,15:30
20/05/2013,8182,13,1,14:00,15:30
20/05/2013,8182,14,1,14:00,15:30
20/05/2013,3841,15,1,14:00,15:30
20/05/2013,2797,16,1,14:00,15:30
20/05/2013,8182,17,1,14:00,15:30
21/05/2013,2943,1,2,07:00,08:30
21/05/2013,2780,2,2,07:00,08:30
21/05/2013,8182,3,2,07:00,08:30
21/05/2013,9976,4,2,07:00,08:30
21/05/2013,8182,5,2,07:00,08:30
21/05/2013,8808,6,2,07:00,08:30
21/05/2013,1291,7,2,07:00,08:30
21/05/2013,9267,8,2,07:00,08:30
21/05/2013,851,9,2,07:00,08:30
21/05/2013,3628,10,2,07:00,08:30
21/05/2013,8182,11,2,07:00,08:30
21/05/2013,8182,12,2,07:00,08:30
21/05/2013,7381,13,2,07:00,08:30
21/05/2013,2797,14,2,07:00,08:30
21/05/2013,8182,15,2,07:00,08:30
21/05/2013,6323,16,2,07:00,08:30
21/05/2013,8182,17,2,07:00,08:30
21/05/2013,9107,18,2,07:00,08:30
21/05/2013,6996,19,2,07:00,08:30
21/05/2013,8466,20,2,07:00,08:30
21/05/2013,2943,1,2,14:00,15:30
21/05/2013,2780,2,2,14:00,15:30
21/05/2013,8182,3,2,14:00,15:30
21/05/2013,9976,4,2,14:00,15:30
21/05/2013,8182,5,2,14:00,15:30
21/05/2013,8808,6,2,14:00,15:30
21/05/2013,1291,7,2,14:00,15:30
21/05/2013,9267,8,2,14:00,15:30
21/05/2013,851,9,2,14:00,15:30
21/05/2013,7376,10,2,14:00,15:30
21/05/2013,8882,10,2,14:00,15:30
21/05/2013,8990,10,2,14:00,15:30
21/05/2013,3628,10,2,14:00,15:30
21/05/2013,8182,11,2,14:00,15:30
21/05/2013,8182,12,2,14:00,15:30
21/05/2013,7381,13,2,14:00,15:30
21/05/2013,2797,14,2,14:00,15:30
21/05/2013,8182,15,2,14:00,15:30
21/05/2013,6323,16,2,14:00,15:30
21/05/2013,8182,17,2,14:00,15:30
21/05/2013,9107,18,2,14:00,15:30
21/05/2013,6996,19,2,14:00,15:30
21/05/2013,8466,20,2,14:00,15:30
22/05/2013,648,1,3,07:00,08:30
22/05/2013,1291,2,3,07:00,08:30
22/05/2013,8182,3,3,07:00,08:30
22/05/2013,8182,4,3,07:00,08:30
22/05/2013,9267,5,3,07:00,08:30
22/05/2013,9976,6,3,07:00,08:30
22/05/2013,6554,7,3,07:00,08:30
22/05/2013,2943,8,3,07:00,08:30
22/05/2013,8182,9,3,07:00,08:30
22/05/2013,2797,10,3,07:00,08:30
22/05/2013,8182,11,3,07:00,08:30
22/05/2013,8182,12,3,07:00,08:30
22/05/2013,8182,13,3,07:00,08:30
22/05/2013,3628,14,3,07:00,08:30
22/05/2013,851,15,3,07:00,08:30
22/05/2013,8182,16,3,07:00,08:30
22/05/2013,6323,17,3,07:00,08:30
22/05/2013,6996,18,3,07:00,08:30
22/05/2013,9398,19,3,07:00,08:30
22/05/2013,8466,20,3,07:00,08:30
22/05/2013,648,1,3,14:00,15:30
22/05/2013,1291,2,3,14:00,15:30
22/05/2013,8182,3,3,14:00,15:30
22/05/2013,8182,4,3,14:00,15:30
22/05/2013,9267,5,3,14:00,15:30
22/05/2013,9976,6,3,14:00,15:30
22/05/2013,6554,7,3,14:00,15:30
22/05/2013,2943,8,3,14:00,15:30
22/05/2013,8182,9,3,14:00,15:30
22/05/2013,2797,10,3,14:00,15:30
22/05/2013,8182,11,3,14:00,15:30
22/05/2013,8182,12,3,14:00,15:30
22/05/2013,8182,13,3,14:00,15:30
22/05/2013,3628,14,3,14:00,15:30
22/05/2013,851,15,3,14:00,15:30
22/05/2013,8182,16,3,14:00,15:30
22/05/2013,6323,17,3,14:00,15:30
22/05/2013,6996,18,3,14:00,15:30
22/05/2013,9398,19,3,14:00,15:30
22/05/2013,8466,20,3,14:00,15:30
23/05/2013,8182,9,4,14:00,15:30
23/05/2013,6323,11,4,14:00,15:30
