IdEmp,numAula,dia,fecha,hora_ini,hora_fin
8950,1,1,13/05/2013,07:00,08:30
2961,2,1,13/05/2013,07:00,08:30
7955,3,1,13/05/2013,07:00,08:30
7763,4,1,13/05/2013,07:00,08:30
6341,5,1,13/05/2013,07:00,08:30
905,6,1,13/05/2013,07:00,08:30
2575,6,1,13/05/2013,07:00,08:30
2796,6,1,13/05/2013,07:00,08:30
9086,7,1,13/05/2013,07:00,08:30
8182,8,1,13/05/2013,07:00,08:30
6822,9,1,13/05/2013,07:00,08:30
7969,10,1,13/05/2013,07:00,08:30
8989,11,1,13/05/2013,07:00,08:30
8455,12,1,13/05/2013,07:00,08:30
2170,13,1,13/05/2013,07:00,08:30
8692,14,1,13/05/2013,07:00,08:30
2941,15,1,13/05/2013,07:00,08:30
7117,16,1,13/05/2013,07:00,08:30
8182,17,1,13/05/2013,07:00,08:30
2482,18,1,13/05/2013,07:00,08:30
9108,19,1,13/05/2013,07:00,08:30
8281,19,1,13/05/2013,07:00,08:30
6178,20,1,13/05/2013,07:00,08:30
6556,21,1,13/05/2013,07:00,08:30
6870,22,1,13/05/2013,07:00,08:30
3938,23,1,13/05/2013,07:00,08:30
8182,24,1,13/05/2013,07:00,08:30
8182,25,1,13/05/2013,07:00,08:30
2780,26,1,13/05/2013,07:00,08:30
8461,27,1,13/05/2013,07:00,08:30
1737,28,1,13/05/2013,07:00,08:30
8461,1,2,14/05/2013,07:00,08:30
2796,2,2,14/05/2013,07:00,08:30
7969,3,2,14/05/2013,07:00,08:30
8261,4,2,14/05/2013,07:00,08:30
905,4,2,14/05/2013,07:00,08:30
7763,4,2,14/05/2013,07:00,08:30
8182,5,2,14/05/2013,07:00,08:30
8182,6,2,14/05/2013,07:00,08:30
8177,7,2,14/05/2013,07:00,08:30
8455,8,2,14/05/2013,07:00,08:30
2575,8,2,14/05/2013,07:00,08:30
8726,8,2,14/05/2013,07:00,08:30
9086,9,2,14/05/2013,07:00,08:30
6178,10,2,14/05/2013,07:00,08:30
6822,11,2,14/05/2013,07:00,08:30
2170,12,2,14/05/2013,07:00,08:30
2941,13,2,14/05/2013,07:00,08:30
9105,14,2,14/05/2013,07:00,08:30
9116,15,2,14/05/2013,07:00,08:30
1234,16,2,14/05/2013,07:00,08:30
6313,17,2,14/05/2013,07:00,08:30
8182,18,2,14/05/2013,07:00,08:30
8182,19,2,14/05/2013,07:00,08:30
8281,20,2,14/05/2013,07:00,08:30
9108,20,2,14/05/2013,07:00,08:30
6996,21,2,14/05/2013,07:00,08:30
6691,22,2,14/05/2013,07:00,08:30
8989,23,2,14/05/2013,07:00,08:30
2891,24,2,14/05/2013,07:00,08:30
3938,25,2,14/05/2013,07:00,08:30
8182,26,2,14/05/2013,07:00,08:30
8991,27,2,14/05/2013,07:00,08:30
1654,28,2,14/05/2013,07:00,08:30
8950,1,4,16/05/2013,07:00,08:30
2961,2,4,16/05/2013,07:00,08:30
9116,3,4,16/05/2013,07:00,08:30
9108,4,4,16/05/2013,07:00,08:30
8281,4,4,16/05/2013,07:00,08:30
8177,5,4,16/05/2013,07:00,08:30
6556,6,4,16/05/2013,07:00,08:30
8991,7,4,16/05/2013,07:00,08:30
7955,8,4,16/05/2013,07:00,08:30
8461,9,4,16/05/2013,07:00,08:30
7969,10,4,16/05/2013,07:00,08:30
9105,11,4,16/05/2013,07:00,08:30
6178,12,4,16/05/2013,07:00,08:30
2170,13,4,16/05/2013,07:00,08:30
8182,14,4,16/05/2013,07:00,08:30
8989,15,4,16/05/2013,07:00,08:30
1234,16,4,16/05/2013,07:00,08:30
8726,17,4,16/05/2013,07:00,08:30
905,17,4,16/05/2013,07:00,08:30
2575,17,4,16/05/2013,07:00,08:30
6691,18,4,16/05/2013,07:00,08:30
6313,19,4,16/05/2013,07:00,08:30
8455,20,4,16/05/2013,07:00,08:30
2941,21,4,16/05/2013,07:00,08:30
2796,22,4,16/05/2013,07:00,08:30
3938,23,4,16/05/2013,07:00,08:30
8692,24,4,16/05/2013,07:00,08:30
2482,25,4,16/05/2013,07:00,08:30
2780,26,4,16/05/2013,07:00,08:30
9086,27,4,16/05/2013,07:00,08:30
6870,28,4,16/05/2013,07:00,08:30
2482,1,5,17/05/2013,07:00,08:30
9086,2,5,17/05/2013,07:00,08:30
7955,3,5,17/05/2013,07:00,08:30
6178,4,5,17/05/2013,07:00,08:30
1737,5,5,17/05/2013,07:00,08:30
2575,6,5,17/05/2013,07:00,08:30
7969,7,5,17/05/2013,07:00,08:30
8182,8,5,17/05/2013,07:00,08:30
8989,9,5,17/05/2013,07:00,08:30
8182,10,5,17/05/2013,07:00,08:30
8950,11,5,17/05/2013,07:00,08:30
9107,12,5,17/05/2013,07:00,08:30
8281,13,5,17/05/2013,07:00,08:30
9108,13,5,17/05/2013,07:00,08:30
2796,14,5,17/05/2013,07:00,08:30
7763,14,5,17/05/2013,07:00,08:30
8990,14,5,17/05/2013,07:00,08:30
9116,15,5,17/05/2013,07:00,08:30
8182,16,5,17/05/2013,07:00,08:30
6341,17,5,17/05/2013,07:00,08:30
8177,18,5,17/05/2013,07:00,08:30
2961,19,5,17/05/2013,07:00,08:30
8455,20,5,17/05/2013,07:00,08:30
6313,21,5,17/05/2013,07:00,08:30
6870,22,5,17/05/2013,07:00,08:30
3938,23,5,17/05/2013,07:00,08:30
2170,24,5,17/05/2013,07:00,08:30
8726,25,5,17/05/2013,07:00,08:30
905,25,5,17/05/2013,07:00,08:30
8261,25,5,17/05/2013,07:00,08:30
1234,26,5,17/05/2013,07:00,08:30
8461,27,5,17/05/2013,07:00,08:30
8182,28,5,17/05/2013,07:00,08:30
8950,1,1,20/05/2013,07:00,08:30
2961,2,1,20/05/2013,07:00,08:30
7955,3,1,20/05/2013,07:00,08:30
7763,4,1,20/05/2013,07:00,08:30
6341,5,1,20/05/2013,07:00,08:30
2796,6,1,20/05/2013,07:00,08:30
2575,6,1,20/05/2013,07:00,08:30
905,6,1,20/05/2013,07:00,08:30
9086,7,1,20/05/2013,07:00,08:30
8182,8,1,20/05/2013,07:00,08:30
6822,9,1,20/05/2013,07:00,08:30
7969,10,1,20/05/2013,07:00,08:30
8989,11,1,20/05/2013,07:00,08:30
8455,12,1,20/05/2013,07:00,08:30
2170,13,1,20/05/2013,07:00,08:30
8692,14,1,20/05/2013,07:00,08:30
2941,15,1,20/05/2013,07:00,08:30
7117,16,1,20/05/2013,07:00,08:30
8182,17,1,20/05/2013,07:00,08:30
2482,18,1,20/05/2013,07:00,08:30
9108,19,1,20/05/2013,07:00,08:30
8281,19,1,20/05/2013,07:00,08:30
6178,20,1,20/05/2013,07:00,08:30
6556,21,1,20/05/2013,07:00,08:30
6870,22,1,20/05/2013,07:00,08:30
3938,23,1,20/05/2013,07:00,08:30
8182,24,1,20/05/2013,07:00,08:30
8182,25,1,20/05/2013,07:00,08:30
2780,26,1,20/05/2013,07:00,08:30
8461,27,1,20/05/2013,07:00,08:30
1737,28,1,20/05/2013,07:00,08:30
8461,1,2,21/05/2013,07:00,08:30
2796,2,2,21/05/2013,07:00,08:30
7969,3,2,21/05/2013,07:00,08:30
8261,4,2,21/05/2013,07:00,08:30
905,4,2,21/05/2013,07:00,08:30
7763,4,2,21/05/2013,07:00,08:30
8182,5,2,21/05/2013,07:00,08:30
8182,6,2,21/05/2013,07:00,08:30
8455,8,2,21/05/2013,07:00,08:30
2575,8,2,21/05/2013,07:00,08:30
8177,7,2,21/05/2013,07:00,08:30
8455,8,2,21/05/2013,07:00,08:30
9086,9,2,21/05/2013,07:00,08:30
6178,10,2,21/05/2013,07:00,08:30
6822,11,2,21/05/2013,07:00,08:30
2170,12,2,21/05/2013,07:00,08:30
2941,13,2,21/05/2013,07:00,08:30
9105,14,2,21/05/2013,07:00,08:30
9116,15,2,21/05/2013,07:00,08:30
1234,16,2,21/05/2013,07:00,08:30
6313,17,2,21/05/2013,07:00,08:30
8182,18,2,21/05/2013,07:00,08:30
8182,19,2,21/05/2013,07:00,08:30
8281,20,2,21/05/2013,07:00,08:30
9108,20,2,21/05/2013,07:00,08:30
6996,21,2,21/05/2013,07:00,08:30
6691,22,2,21/05/2013,07:00,08:30
8989,23,2,21/05/2013,07:00,08:30
2891,24,2,21/05/2013,07:00,08:30
3938,25,2,21/05/2013,07:00,08:30
8182,26,2,21/05/2013,07:00,08:30
8991,27,2,21/05/2013,07:00,08:30
1654,28,2,21/05/2013,07:00,08:30
6556,1,3,22/05/2013,07:00,08:30
9086,2,3,22/05/2013,07:00,08:30
9116,3,3,22/05/2013,07:00,08:30
9107,4,3,22/05/2013,07:00,08:30
8455,5,3,22/05/2013,07:00,08:30
3938,6,3,22/05/2013,07:00,08:30
8991,7,3,22/05/2013,07:00,08:30
2961,8,3,22/05/2013,07:00,08:30
8989,9,3,22/05/2013,07:00,08:30
8461,10,3,22/05/2013,07:00,08:30
8692,11,3,22/05/2013,07:00,08:30
6178,12,3,22/05/2013,07:00,08:30
1234,13,3,22/05/2013,07:00,08:30
8182,14,3,22/05/2013,07:00,08:30
7955,15,3,22/05/2013,07:00,08:30
8182,16,3,22/05/2013,07:00,08:30
6870,17,3,22/05/2013,07:00,08:30
8182,18,3,22/05/2013,07:00,08:30
905,19,3,22/05/2013,07:00,08:30
2796,19,3,22/05/2013,07:00,08:30
8261,19,3,22/05/2013,07:00,08:30
7969,20,3,22/05/2013,07:00,08:30
7763,21,3,22/05/2013,07:00,08:30
2575,21,3,22/05/2013,07:00,08:30
2941,21,3,22/05/2013,07:00,08:30
8182,22,3,22/05/2013,07:00,08:30
8177,23,3,22/05/2013,07:00,08:30
8950,24,3,22/05/2013,07:00,08:30
6341,25,3,22/05/2013,07:00,08:30
1654,26,3,22/05/2013,07:00,08:30
8281,27,3,22/05/2013,07:00,08:30
8281,27,3,22/05/2013,07:00,08:30
6691,28,3,22/05/2013,07:00,08:30
648,1,1,13/05/2013,14:00,15:30
8182,2,1,13/05/2013,14:00,15:30
8882,3,1,13/05/2013,14:00,15:30
1346,3,1,13/05/2013,14:00,15:30
8951,3,1,13/05/2013,14:00,15:30
6881,4,1,13/05/2013,14:00,15:30
6741,5,1,13/05/2013,14:00,15:30
2888,6,1,13/05/2013,14:00,15:30
6526,7,1,13/05/2013,14:00,15:30
1737,8,1,13/05/2013,14:00,15:30
8990,8,1,13/05/2013,14:00,15:30
430,8,1,13/05/2013,14:00,15:30
6515,9,1,13/05/2013,14:00,15:30
7761,10,1,13/05/2013,14:00,15:30
9394,11,1,13/05/2013,14:00,15:30
2780,12,1,13/05/2013,14:00,15:30
2364,13,1,13/05/2013,14:00,15:30
3908,14,1,13/05/2013,14:00,15:30
7379,15,1,13/05/2013,14:00,15:30
6556,16,1,13/05/2013,14:00,15:30
2550,17,1,13/05/2013,14:00,15:30
8701,18,1,13/05/2013,14:00,15:30
8460,19,1,13/05/2013,14:00,15:30
9033,20,1,13/05/2013,14:00,15:30
7474,21,1,13/05/2013,14:00,15:30
7955,22,1,13/05/2013,14:00,15:30
6515,1,2,14/05/2013,14:00,15:30
2888,2,2,14/05/2013,14:00,15:30
6526,3,2,14/05/2013,14:00,15:30
7379,4,2,14/05/2013,14:00,15:30
577,5,2,14/05/2013,14:00,15:30
2550,6,2,14/05/2013,14:00,15:30
7474,7,2,14/05/2013,14:00,15:30
9964,8,2,14/05/2013,14:00,15:30
7972,9,2,14/05/2013,14:00,15:30
2780,10,2,14/05/2013,14:00,15:30
6741,11,2,14/05/2013,14:00,15:30
430,12,2,14/05/2013,14:00,15:30
894,12,2,14/05/2013,14:00,15:30
648,12,2,14/05/2013,14:00,15:30
9033,13,2,14/05/2013,14:00,15:30
8701,14,2,14/05/2013,14:00,15:30
6881,15,2,14/05/2013,14:00,15:30
2173,16,2,14/05/2013,14:00,15:30
8951,16,2,14/05/2013,14:00,15:30
1346,16,2,14/05/2013,14:00,15:30
9138,17,2,14/05/2013,14:00,15:30
2473,18,2,14/05/2013,14:00,15:30
8182,19,2,14/05/2013,14:00,15:30
8182,20,2,14/05/2013,14:00,15:30
3938,21,2,14/05/2013,14:00,15:30
7763,22,2,14/05/2013,14:00,15:30
6526,1,4,16/05/2013,14:00,15:30
430,2,4,16/05/2013,14:00,15:30
894,2,4,16/05/2013,14:00,15:30
2550,2,4,16/05/2013,14:00,15:30
7098,3,4,16/05/2013,14:00,15:30
8951,4,4,16/05/2013,14:00,15:30
2173,4,4,16/05/2013,14:00,15:30
2891,4,4,16/05/2013,14:00,15:30
9138,5,4,16/05/2013,14:00,15:30
9033,6,4,16/05/2013,14:00,15:30
7474,7,4,16/05/2013,14:00,15:30
2888,8,4,16/05/2013,14:00,15:30
7582,9,4,16/05/2013,14:00,15:30
2780,10,4,16/05/2013,14:00,15:30
9394,11,4,16/05/2013,14:00,15:30
8701,12,4,16/05/2013,14:00,15:30
6881,13,4,16/05/2013,14:00,15:30
648,14,4,16/05/2013,14:00,15:30
577,15,4,16/05/2013,14:00,15:30
9964,16,4,16/05/2013,14:00,15:30
1346,17,4,16/05/2013,14:00,15:30
2473,18,4,16/05/2013,14:00,15:30
2406,19,4,16/05/2013,14:00,15:30
3908,20,4,16/05/2013,14:00,15:30
6741,21,4,16/05/2013,14:00,15:30
8466,22,4,16/05/2013,14:00,15:30
2888,1,5,17/05/2013,14:00,15:30
3841,2,5,17/05/2013,14:00,15:30
9138,3,5,17/05/2013,14:00,15:30
7582,4,5,17/05/2013,14:00,15:30
838,5,5,17/05/2013,14:00,15:30
8951,6,5,17/05/2013,14:00,15:30
8882,6,5,17/05/2013,14:00,15:30
6515,6,5,17/05/2013,14:00,15:30
648,7,5,17/05/2013,14:00,15:30
577,8,5,17/05/2013,14:00,15:30
6741,9,5,17/05/2013,14:00,15:30
7761,10,5,17/05/2013,14:00,15:30
7379,11,5,17/05/2013,14:00,15:30
6526,12,5,17/05/2013,14:00,15:30
9964,13,5,17/05/2013,14:00,15:30
3908,14,5,17/05/2013,14:00,15:30
6881,15,5,17/05/2013,14:00,15:30
430,16,5,17/05/2013,14:00,15:30
2550,16,5,17/05/2013,14:00,15:30
894,16,5,17/05/2013,14:00,15:30
1346,17,5,17/05/2013,14:00,15:30
7098,18,5,17/05/2013,14:00,15:30
8701,19,5,17/05/2013,14:00,15:30
9033,20,5,17/05/2013,14:00,15:30
7972,21,5,17/05/2013,14:00,15:30
7955,22,5,17/05/2013,14:00,15:30
648,1,1,20/05/2013,14:00,15:30
8182,2,1,20/05/2013,14:00,15:30
1346,3,1,20/05/2013,14:00,15:30
8882,3,1,20/05/2013,14:00,15:30
8951,3,1,20/05/2013,14:00,15:30
6881,4,1,20/05/2013,14:00,15:30
6741,5,1,20/05/2013,14:00,15:30
2888,6,1,20/05/2013,14:00,15:30
6526,7,1,20/05/2013,14:00,15:30
430,8,1,20/05/2013,14:00,15:30
8990,8,1,20/05/2013,14:00,15:30
1737,8,1,20/05/2013,14:00,15:30
6515,9,1,20/05/2013,14:00,15:30
7761,10,1,20/05/2013,14:00,15:30
9394,11,1,20/05/2013,14:00,15:30
2780,12,1,20/05/2013,14:00,15:30
2364,13,1,20/05/2013,14:00,15:30
3908,14,1,20/05/2013,14:00,15:30
7379,15,1,20/05/2013,14:00,15:30
6556,16,1,20/05/2013,14:00,15:30
2550,17,1,20/05/2013,14:00,15:30
8701,18,1,20/05/2013,14:00,15:30
8460,19,1,20/05/2013,14:00,15:30
9033,20,1,20/05/2013,14:00,15:30
7474,21,1,20/05/2013,14:00,15:30
7955,22,1,20/05/2013,14:00,15:30
6515,1,2,21/05/2013,14:00,15:30
2888,2,2,21/05/2013,14:00,15:30
6526,3,2,21/05/2013,14:00,15:30
7379,4,2,21/05/2013,14:00,15:30
577,5,2,21/05/2013,14:00,15:30
2550,6,2,21/05/2013,14:00,15:30
7474,7,2,21/05/2013,14:00,15:30
9964,8,2,21/05/2013,14:00,15:30
7972,9,2,21/05/2013,14:00,15:30
2780,10,2,21/05/2013,14:00,15:30
6741,11,2,21/05/2013,14:00,15:30
430,12,2,21/05/2013,14:00,15:30
894,12,2,21/05/2013,14:00,15:30
648,12,2,21/05/2013,14:00,15:30
9033,13,2,21/05/2013,14:00,15:30
8701,14,2,21/05/2013,14:00,15:30
6881,15,2,21/05/2013,14:00,15:30
2173,16,2,21/05/2013,14:00,15:30
8951,16,2,21/05/2013,14:00,15:30
1346,16,2,21/05/2013,14:00,15:30
9138,17,2,21/05/2013,14:00,15:30
2473,18,2,21/05/2013,14:00,15:30
8182,19,2,21/05/2013,14:00,15:30
8182,20,2,21/05/2013,14:00,15:30
3938,21,2,21/05/2013,14:00,15:30
7763,22,2,21/05/2013,14:00,15:30
648,1,3,22/05/2013,14:00,15:30
2473,2,3,22/05/2013,14:00,15:30
6881,3,3,22/05/2013,14:00,15:30
7582,4,3,22/05/2013,14:00,15:30
838,5,3,22/05/2013,14:00,15:30
9033,6,3,22/05/2013,14:00,15:30
8182,7,3,22/05/2013,14:00,15:30
1737,8,3,22/05/2013,14:00,15:30
6515,9,3,22/05/2013,14:00,15:30
2550,10,3,22/05/2013,14:00,15:30
8990,10,3,22/05/2013,14:00,15:30
7379,10,3,22/05/2013,14:00,15:30
7972,11,3,22/05/2013,14:00,15:30
8951,12,3,22/05/2013,14:00,15:30
2364,13,3,22/05/2013,14:00,15:30
7761,14,3,22/05/2013,14:00,15:30
577,15,3,22/05/2013,14:00,15:30
894,16,3,22/05/2013,14:00,15:30
430,17,3,22/05/2013,14:00,15:30
1346,17,3,22/05/2013,14:00,15:30
8882,17,3,22/05/2013,14:00,15:30
9964,18,3,22/05/2013,14:00,15:30
8460,19,3,22/05/2013,14:00,15:30
3908,20,3,22/05/2013,14:00,15:30
9394,21,3,22/05/2013,14:00,15:30
7763,22,3,22/05/2013,14:00,15:30
648,1,1,13/05/2013,07:00,08:30
6827,2,1,13/05/2013,07:00,08:30
9267,3,1,13/05/2013,07:00,08:30
9976,4,1,13/05/2013,07:00,08:30
6554,7,1,13/05/2013,07:00,08:30
2943,8,1,13/05/2013,07:00,08:30
8182,18,1,13/05/2013,07:00,08:30
8182,19,1,13/05/2013,07:00,08:30
6554,5,1,13/05/2013,08:30,10:00
9107,6,1,13/05/2013,08:30,10:00
8182,9,1,13/05/2013,08:30,10:00
8182,10,1,13/05/2013,14:00,15:30
3628,12,1,13/05/2013,14:00,15:30
8182,13,1,13/05/2013,14:00,15:30
8182,14,1,13/05/2013,14:00,15:30
3841,15,1,13/05/2013,14:00,15:30
2797,16,1,13/05/2013,14:00,15:30
8182,17,1,13/05/2013,14:00,15:30
8466,20,1,13/05/2013,14:00,15:30
2943,1,2,14/05/2013,07:00,08:30
2780,2,2,14/05/2013,07:00,08:30
8182,3,2,14/05/2013,07:00,08:30
9976,4,2,14/05/2013,07:00,08:30
8182,5,2,14/05/2013,07:00,08:30
8808,6,2,14/05/2013,07:00,08:30
1291,7,2,14/05/2013,07:00,08:30
9267,8,2,14/05/2013,07:00,08:30
851,9,2,14/05/2013,07:00,08:30
7376,10,2,14/05/2013,07:00,08:30
8182,11,2,14/05/2013,07:00,08:30
8182,12,2,14/05/2013,07:00,08:30
7381,13,2,14/05/2013,07:00,08:30
2797,14,2,14/05/2013,07:00,08:30
8182,15,2,14/05/2013,07:00,08:30
6323,16,2,14/05/2013,07:00,08:30
8182,17,2,14/05/2013,07:00,08:30
9107,18,2,14/05/2013,07:00,08:30
6996,19,2,14/05/2013,07:00,08:30
8466,20,2,14/05/2013,07:00,08:30
2943,1,2,14/05/2013,14:00,15:30
2780,2,2,14/05/2013,14:00,15:30
8182,3,2,14/05/2013,14:00,15:30
9976,4,2,14/05/2013,14:00,15:30
8182,5,2,14/05/2013,14:00,15:30
8808,6,2,14/05/2013,14:00,15:30
1291,7,2,14/05/2013,14:00,15:30
9267,8,2,14/05/2013,14:00,15:30
851,9,2,14/05/2013,14:00,15:30
3628,10,2,14/05/2013,14:00,15:30
8882,10,2,14/05/2013,14:00,15:30
7376,10,2,14/05/2013,14:00,15:30
8182,11,2,14/05/2013,14:00,15:30
8182,12,2,14/05/2013,14:00,15:30
7381,13,2,14/05/2013,14:00,15:30
2797,14,2,14/05/2013,14:00,15:30
8182,15,2,14/05/2013,14:00,15:30
6323,16,2,14/05/2013,14:00,15:30
8182,17,2,14/05/2013,14:00,15:30
9107,18,2,14/05/2013,14:00,15:30
6996,19,2,14/05/2013,14:00,15:30
8466,20,2,14/05/2013,14:00,15:30
6827,1,4,16/05/2013,07:00,08:30
6554,2,4,16/05/2013,07:00,08:30
9107,3,4,16/05/2013,07:00,08:30
1291,4,4,16/05/2013,07:00,08:30
3841,5,4,16/05/2013,07:00,08:30
6996,6,4,16/05/2013,07:00,08:30
9267,7,4,16/05/2013,07:00,08:30
8182,8,4,16/05/2013,07:00,08:30
8182,9,4,16/05/2013,07:00,08:30
851,10,4,16/05/2013,07:00,08:30
6323,11,4,16/05/2013,07:00,08:30
8493,12,4,16/05/2013,07:00,08:30
8182,13,4,16/05/2013,07:00,08:30
8182,14,4,16/05/2013,07:00,08:30
8182,15,4,16/05/2013,07:00,08:30
8882,16,4,16/05/2013,07:00,08:30
3628,17,4,16/05/2013,07:00,08:30
2797,18,4,16/05/2013,07:00,08:30
9398,19,4,16/05/2013,07:00,08:30
7972,20,4,16/05/2013,07:00,08:30
6827,1,4,16/05/2013,14:00,15:30
6554,2,4,16/05/2013,14:00,15:30
9107,3,4,16/05/2013,14:00,15:30
1291,4,4,16/05/2013,14:00,15:30
3841,5,4,16/05/2013,14:00,15:30
6996,6,4,16/05/2013,14:00,15:30
9267,7,4,16/05/2013,14:00,15:30
8182,8,4,16/05/2013,14:00,15:30
8182,9,4,16/05/2013,14:00,15:30
851,10,4,16/05/2013,14:00,15:30
6323,11,4,16/05/2013,14:00,15:30
8493,12,4,16/05/2013,14:00,15:30
8182,13,4,16/05/2013,14:00,15:30
8182,14,4,16/05/2013,14:00,15:30
8182,15,4,16/05/2013,14:00,15:30
7376,16,4,16/05/2013,14:00,15:30
8460,16,4,16/05/2013,14:00,15:30
6515,16,4,16/05/2013,14:00,15:30
8882,16,4,16/05/2013,14:00,15:30
3628,17,4,16/05/2013,14:00,15:30
2797,18,4,16/05/2013,14:00,15:30
9398,19,4,16/05/2013,14:00,15:30
7972,20,4,16/05/2013,14:00,15:30
8182,3,5,17/05/2013,07:00,08:30
8182,4,5,17/05/2013,07:00,08:30
6554,5,5,17/05/2013,07:00,08:30
9976,6,5,17/05/2013,07:00,08:30
8182,10,5,17/05/2013,07:00,08:30
8182,13,5,17/05/2013,07:00,08:30
8182,14,5,17/05/2013,07:00,08:30
8182,15,5,17/05/2013,07:00,08:30
8182,1,5,17/05/2013,14:00,15:30
8182,2,5,17/05/2013,14:00,15:30
8182,7,5,17/05/2013,14:00,15:30
8182,8,5,17/05/2013,14:00,15:30
8182,11,5,17/05/2013,14:00,15:30
8182,12,5,17/05/2013,14:00,15:30
7763,16,5,17/05/2013,14:00,15:30
9394,16,5,17/05/2013,14:00,15:30
851,16,5,17/05/2013,14:00,15:30
7381,17,5,17/05/2013,14:00,15:30
6996,18,5,17/05/2013,14:00,15:30
8182,19,5,17/05/2013,14:00,15:30
8466,20,5,17/05/2013,14:00,15:30
9267,3,1,20/05/2013,07:00,08:30
9976,4,1,20/05/2013,07:00,08:30
8182,5,1,20/05/2013,07:00,08:30
8808,6,1,20/05/2013,07:00,08:30
2943,8,1,20/05/2013,07:00,08:30
8182,12,1,20/05/2013,07:00,08:30
8182,18,1,20/05/2013,07:00,08:30
8182,19,1,20/05/2013,07:00,08:30
6827,1,1,20/05/2013,08:30,10:00
1291,2,1,20/05/2013,08:30,10:00
648,7,1,20/05/2013,08:30,10:00
8182,20,1,20/05/2013,08:30,10:00
8182,9,1,20/05/2013,14:00,15:30
8182,10,1,20/05/2013,14:00,15:30
8182,11,1,20/05/2013,14:00,15:30
8182,13,1,20/05/2013,14:00,15:30
8182,14,1,20/05/2013,14:00,15:30
3841,15,1,20/05/2013,14:00,15:30
2797,16,1,20/05/2013,14:00,15:30
8182,17,1,20/05/2013,14:00,15:30
2943,1,2,21/05/2013,07:00,08:30
2780,2,2,21/05/2013,07:00,08:30
8182,3,2,21/05/2013,07:00,08:30
9976,4,2,21/05/2013,07:00,08:30
8182,5,2,21/05/2013,07:00,08:30
8808,6,2,21/05/2013,07:00,08:30
1291,7,2,21/05/2013,07:00,08:30
9267,8,2,21/05/2013,07:00,08:30
851,9,2,21/05/2013,07:00,08:30
3628,10,2,21/05/2013,07:00,08:30
8182,11,2,21/05/2013,07:00,08:30
8182,12,2,21/05/2013,07:00,08:30
7381,13,2,21/05/2013,07:00,08:30
2797,14,2,21/05/2013,07:00,08:30
8182,15,2,21/05/2013,07:00,08:30
6323,16,2,21/05/2013,07:00,08:30
8182,17,2,21/05/2013,07:00,08:30
9107,18,2,21/05/2013,07:00,08:30
6996,19,2,21/05/2013,07:00,08:30
8466,20,2,21/05/2013,07:00,08:30
2943,1,2,21/05/2013,14:00,15:30
2780,2,2,21/05/2013,14:00,15:30
8182,3,2,21/05/2013,14:00,15:30
9976,4,2,21/05/2013,14:00,15:30
8182,5,2,21/05/2013,14:00,15:30
8808,6,2,21/05/2013,14:00,15:30
1291,7,2,21/05/2013,14:00,15:30
9267,8,2,21/05/2013,14:00,15:30
851,9,2,21/05/2013,14:00,15:30
7376,10,2,21/05/2013,14:00,15:30
8882,10,2,21/05/2013,14:00,15:30
8990,10,2,21/05/2013,14:00,15:30
3628,10,2,21/05/2013,14:00,15:30
8182,11,2,21/05/2013,14:00,15:30
8182,12,2,21/05/2013,14:00,15:30
7381,13,2,21/05/2013,14:00,15:30
2797,14,2,21/05/2013,14:00,15:30
8182,15,2,21/05/2013,14:00,15:30
6323,16,2,21/05/2013,14:00,15:30
8182,17,2,21/05/2013,14:00,15:30
9107,18,2,21/05/2013,14:00,15:30
6996,19,2,21/05/2013,14:00,15:30
8466,20,2,21/05/2013,14:00,15:30
648,1,3,22/05/2013,07:00,08:30
1291,2,3,22/05/2013,07:00,08:30
8182,3,3,22/05/2013,07:00,08:30
8182,4,3,22/05/2013,07:00,08:30
9267,5,3,22/05/2013,07:00,08:30
9976,6,3,22/05/2013,07:00,08:30
6554,7,3,22/05/2013,07:00,08:30
2943,8,3,22/05/2013,07:00,08:30
8182,9,3,22/05/2013,07:00,08:30
2797,10,3,22/05/2013,07:00,08:30
8182,11,3,22/05/2013,07:00,08:30
8182,12,3,22/05/2013,07:00,08:30
8182,13,3,22/05/2013,07:00,08:30
3628,14,3,22/05/2013,07:00,08:30
851,15,3,22/05/2013,07:00,08:30
8182,16,3,22/05/2013,07:00,08:30
6323,17,3,22/05/2013,07:00,08:30
6996,18,3,22/05/2013,07:00,08:30
9398,19,3,22/05/2013,07:00,08:30
8466,20,3,22/05/2013,07:00,08:30
648,1,3,22/05/2013,14:00,15:30
1291,2,3,22/05/2013,14:00,15:30
8182,3,3,22/05/2013,14:00,15:30
8182,4,3,22/05/2013,14:00,15:30
9267,5,3,22/05/2013,14:00,15:30
9976,6,3,22/05/2013,14:00,15:30
6554,7,3,22/05/2013,14:00,15:30
2943,8,3,22/05/2013,14:00,15:30
8182,9,3,22/05/2013,14:00,15:30
2797,10,3,22/05/2013,14:00,15:30
8182,11,3,22/05/2013,14:00,15:30
8182,12,3,22/05/2013,14:00,15:30
8182,13,3,22/05/2013,14:00,15:30
3628,14,3,22/05/2013,14:00,15:30
851,15,3,22/05/2013,14:00,15:30
8182,16,3,22/05/2013,14:00,15:30
6323,17,3,22/05/2013,14:00,15:30
6996,18,3,22/05/2013,14:00,15:30
9398,19,3,22/05/2013,14:00,15:30
8466,20,3,22/05/2013,14:00,15:30
8182,9,4,23/05/2013,14:00,15:30
6323,11,4,23/05/2013,14:00,15:30
