Fecha examen,Cve. Empleado,Dia semana,Aula,Hora inicio,Hora Fin
17/05/2013,9964,5,13,14:00,15:30
17/05/2013,3908,5,14,14:00,15:30
17/05/2013,6881,5,15,14:00,15:30
17/05/2013,430,5,16,14:00,15:30
17/05/2013,2550,5,16,14:00,15:30
17/05/2013,894,5,16,14:00,15:30
17/05/2013,1346,5,17,14:00,15:30
17/05/2013,7098,5,18,14:00,15:30
17/05/2013,8701,5,19,14:00,15:30
17/05/2013,9033,5,20,14:00,15:30
17/05/2013,7972,5,21,14:00,15:30
17/05/2013,7955,5,22,14:00,15:30
20/05/2013,648,1,1,14:00,15:30
20/05/2013,8182,1,2,14:00,15:30
20/05/2013,1346,1,3,14:00,15:30
20/05/2013,8882,1,3,14:00,15:30
20/05/2013,8951,1,3,14:00,15:30
20/05/2013,6881,1,4,14:00,15:30
20/05/2013,6741,1,5,14:00,15:30
20/05/2013,2888,1,6,14:00,15:30
20/05/2013,6526,1,7,14:00,15:30
20/05/2013,430,1,8,14:00,15:30
20/05/2013,8990,1,8,14:00,15:30
20/05/2013,1737,1,8,14:00,15:30
20/05/2013,6515,1,9,14:00,15:30
20/05/2013,7761,1,10,14:00,15:30
20/05/2013,9394,1,11,14:00,15:30
20/05/2013,2780,1,12,14:00,15:30
20/05/2013,2364,1,13,14:00,15:30
20/05/2013,3908,1,14,14:00,15:30
20/05/2013,7379,1,15,14:00,15:30
20/05/2013,6556,1,16,14:00,15:30
20/05/2013,2550,1,17,14:00,15:30
20/05/2013,8701,1,18,14:00,15:30
20/05/2013,8460,1,19,14:00,15:30
20/05/2013,9033,1,20,14:00,15:30
20/05/2013,7474,1,21,14:00,15:30
20/05/2013,7955,1,22,14:00,15:30
21/05/2013,6515,2,1,14:00,15:30
21/05/2013,2888,2,2,14:00,15:30
21/05/2013,6526,2,3,14:00,15:30
21/05/2013,7379,2,4,14:00,15:30
21/05/2013,577,2,5,14:00,15:30
21/05/2013,2550,2,6,14:00,15:30
21/05/2013,7474,2,7,14:00,15:30
21/05/2013,9964,2,8,14:00,15:30
21/05/2013,7972,2,9,14:00,15:30
21/05/2013,2780,2,10,14:00,15:30
21/05/2013,6741,2,11,14:00,15:30
21/05/2013,430,2,12,14:00,15:30
21/05/2013,894,2,12,14:00,15:30
21/05/2013,648,2,12,14:00,15:30
21/05/2013,9033,2,13,14:00,15:30
21/05/2013,8701,2,14,14:00,15:30
21/05/2013,6881,2,15,14:00,15:30
21/05/2013,2173,2,16,14:00,15:30
21/05/2013,8951,2,16,14:00,15:30
21/05/2013,1346,2,16,14:00,15:30
21/05/2013,9138,2,17,14:00,15:30
21/05/2013,2473,2,18,14:00,15:30
21/05/2013,8182,2,19,14:00,15:30
21/05/2013,8182,2,20,14:00,15:30
21/05/2013,3938,2,21,14:00,15:30
21/05/2013,7763,2,22,14:00,15:30
22/05/2013,648,3,1,14:00,15:30
22/05/2013,2473,3,2,14:00,15:30
22/05/2013,6881,3,3,14:00,15:30
22/05/2013,7582,3,4,14:00,15:30
22/05/2013,838,3,5,14:00,15:30
22/05/2013,9033,3,6,14:00,15:30
22/05/2013,8182,3,7,14:00,15:30
22/05/2013,1737,3,8,14:00,15:30
22/05/2013,6515,3,9,14:00,15:30
22/05/2013,2550,3,10,14:00,15:30
22/05/2013,8990,3,10,14:00,15:30
22/05/2013,7379,3,10,14:00,15:30
22/05/2013,7972,3,11,14:00,15:30
22/05/2013,8951,3,12,14:00,15:30
22/05/2013,2364,3,13,14:00,15:30
22/05/2013,7761,3,14,14:00,15:30
22/05/2013,577,3,15,14:00,15:30
22/05/2013,894,3,16,14:00,15:30
22/05/2013,430,3,17,14:00,15:30
22/05/2013,1346,3,17,14:00,15:30
22/05/2013,8882,3,17,14:00,15:30
22/05/2013,9964,3,18,14:00,15:30
22/05/2013,8460,3,19,14:00,15:30
22/05/2013,3908,3,20,14:00,15:30
22/05/2013,9394,3,21,14:00,15:30
22/05/2013,7763,3,22,14:00,15:30
13/05/2013,648,1,1,07:00,08:30
13/05/2013,6827,1,2,07:00,08:30
13/05/2013,9267,1,3,07:00,08:30
13/05/2013,9976,1,4,07:00,08:30
13/05/2013,6554,1,7,07:00,08:30
13/05/2013,2943,1,8,07:00,08:30
13/05/2013,8182,1,18,07:00,08:30
13/05/2013,8182,1,19,07:00,08:30
13/05/2013,6554,1,5,08:30,10:00
13/05/2013,9107,1,6,08:30,10:00
13/05/2013,8182,1,9,08:30,10:00
13/05/2013,8182,1,10,14:00,15:30
13/05/2013,3628,1,12,14:00,15:30
13/05/2013,8182,1,13,14:00,15:30
13/05/2013,8182,1,14,14:00,15:30
13/05/2013,3841,1,15,14:00,15:30
13/05/2013,2797,1,16,14:00,15:30
13/05/2013,8182,1,17,14:00,15:30
13/05/2013,8466,1,20,14:00,15:30
14/05/2013,2943,2,1,07:00,08:30
14/05/2013,2780,2,2,07:00,08:30
14/05/2013,8182,2,3,07:00,08:30
14/05/2013,9976,2,4,07:00,08:30
14/05/2013,8182,2,5,07:00,08:30
14/05/2013,8808,2,6,07:00,08:30
14/05/2013,1291,2,7,07:00,08:30
14/05/2013,9267,2,8,07:00,08:30
14/05/2013,851,2,9,07:00,08:30
14/05/2013,7376,2,10,07:00,08:30
14/05/2013,8182,2,11,07:00,08:30
14/05/2013,8182,2,12,07:00,08:30
14/05/2013,7381,2,13,07:00,08:30
14/05/2013,2797,2,14,07:00,08:30
14/05/2013,8182,2,15,07:00,08:30
14/05/2013,6323,2,16,07:00,08:30
14/05/2013,8182,2,17,07:00,08:30
14/05/2013,9107,2,18,07:00,08:30
14/05/2013,6996,2,19,07:00,08:30
14/05/2013,8466,2,20,07:00,08:30
14/05/2013,2943,2,1,14:00,15:30
14/05/2013,2780,2,2,14:00,15:30
14/05/2013,8182,2,3,14:00,15:30
14/05/2013,9976,2,4,14:00,15:30
14/05/2013,8182,2,5,14:00,15:30
14/05/2013,8808,2,6,14:00,15:30
14/05/2013,1291,2,7,14:00,15:30
14/05/2013,9267,2,8,14:00,15:30
14/05/2013,851,2,9,14:00,15:30
14/05/2013,3628,2,10,14:00,15:30
14/05/2013,8882,2,10,14:00,15:30
14/05/2013,7376,2,10,14:00,15:30
14/05/2013,8182,2,11,14:00,15:30
14/05/2013,8182,2,12,14:00,15:30
14/05/2013,7381,2,13,14:00,15:30
14/05/2013,2797,2,14,14:00,15:30
14/05/2013,8182,2,15,14:00,15:30
14/05/2013,6323,2,16,14:00,15:30
14/05/2013,8182,2,17,14:00,15:30
14/05/2013,9107,2,18,14:00,15:30
14/05/2013,6996,2,19,14:00,15:30
14/05/2013,8466,2,20,14:00,15:30
16/05/2013,6827,4,1,07:00,08:30
16/05/2013,6554,4,2,07:00,08:30
16/05/2013,9107,4,3,07:00,08:30
16/05/2013,1291,4,4,07:00,08:30
16/05/2013,3841,4,5,07:00,08:30
16/05/2013,6996,4,6,07:00,08:30
16/05/2013,9267,4,7,07:00,08:30
16/05/2013,8182,4,8,07:00,08:30
16/05/2013,8182,4,9,07:00,08:30
16/05/2013,851,4,10,07:00,08:30
16/05/2013,6323,4,11,07:00,08:30
16/05/2013,8493,4,12,07:00,08:30
16/05/2013,8182,4,13,07:00,08:30
16/05/2013,8182,4,14,07:00,08:30
16/05/2013,8182,4,15,07:00,08:30
16/05/2013,8882,4,16,07:00,08:30
16/05/2013,3628,4,17,07:00,08:30
16/05/2013,2797,4,18,07:00,08:30
16/05/2013,9398,4,19,07:00,08:30
16/05/2013,7972,4,20,07:00,08:30
16/05/2013,6827,4,1,14:00,15:30
16/05/2013,6554,4,2,14:00,15:30
16/05/2013,9107,4,3,14:00,15:30
16/05/2013,1291,4,4,14:00,15:30
16/05/2013,3841,4,5,14:00,15:30
16/05/2013,6996,4,6,14:00,15:30
16/05/2013,9267,4,7,14:00,15:30
16/05/2013,8182,4,8,14:00,15:30
16/05/2013,8182,4,9,14:00,15:30
16/05/2013,851,4,10,14:00,15:30
16/05/2013,6323,4,11,14:00,15:30
16/05/2013,8493,4,12,14:00,15:30
16/05/2013,8182,4,13,14:00,15:30
16/05/2013,8182,4,14,14:00,15:30
16/05/2013,8182,4,15,14:00,15:30
16/05/2013,7376,4,16,14:00,15:30
16/05/2013,8460,4,16,14:00,15:30
16/05/2013,6515,4,16,14:00,15:30
16/05/2013,8882,4,16,14:00,15:30
16/05/2013,3628,4,17,14:00,15:30
16/05/2013,2797,4,18,14:00,15:30
16/05/2013,9398,4,19,14:00,15:30
16/05/2013,7972,4,20,14:00,15:30
17/05/2013,8182,5,3,07:00,08:30
17/05/2013,8182,5,4,07:00,08:30
17/05/2013,6554,5,5,07:00,08:30
17/05/2013,9976,5,6,07:00,08:30
17/05/2013,8182,5,10,07:00,08:30
17/05/2013,8182,5,13,07:00,08:30
17/05/2013,8182,5,14,07:00,08:30
17/05/2013,8182,5,15,07:00,08:30
17/05/2013,8182,5,1,14:00,15:30
17/05/2013,8182,5,2,14:00,15:30
17/05/2013,8182,5,7,14:00,15:30
17/05/2013,8182,5,8,14:00,15:30
17/05/2013,8182,5,11,14:00,15:30
17/05/2013,8182,5,12,14:00,15:30
17/05/2013,7763,5,16,14:00,15:30
17/05/2013,9394,5,16,14:00,15:30
17/05/2013,851,5,16,14:00,15:30
17/05/2013,7381,5,17,14:00,15:30
17/05/2013,6996,5,18,14:00,15:30
17/05/2013,8182,5,19,14:00,15:30
17/05/2013,8466,5,20,14:00,15:30
20/05/2013,9267,1,3,07:00,08:30
20/05/2013,9976,1,4,07:00,08:30
20/05/2013,8182,1,5,07:00,08:30
20/05/2013,8808,1,6,07:00,08:30
20/05/2013,2943,1,8,07:00,08:30
20/05/2013,8182,1,12,07:00,08:30
20/05/2013,8182,1,18,07:00,08:30
20/05/2013,8182,1,19,07:00,08:30
20/05/2013,6827,1,1,08:30,10:00
20/05/2013,1291,1,2,08:30,10:00
20/05/2013,648,1,7,08:30,10:00
20/05/2013,8182,1,20,08:30,10:00
20/05/2013,8182,1,9,14:00,15:30
20/05/2013,8182,1,10,14:00,15:30
20/05/2013,8182,1,11,14:00,15:30
20/05/2013,8182,1,13,14:00,15:30
20/05/2013,8182,1,14,14:00,15:30
20/05/2013,3841,1,15,14:00,15:30
20/05/2013,2797,1,16,14:00,15:30
20/05/2013,8182,1,17,14:00,15:30
21/05/2013,2943,2,1,07:00,08:30
21/05/2013,2780,2,2,07:00,08:30
21/05/2013,8182,2,3,07:00,08:30
21/05/2013,9976,2,4,07:00,08:30
21/05/2013,8182,2,5,07:00,08:30
21/05/2013,8808,2,6,07:00,08:30
21/05/2013,1291,2,7,07:00,08:30
21/05/2013,9267,2,8,07:00,08:30
21/05/2013,851,2,9,07:00,08:30
21/05/2013,3628,2,10,07:00,08:30
21/05/2013,8182,2,11,07:00,08:30
21/05/2013,8182,2,12,07:00,08:30
21/05/2013,7381,2,13,07:00,08:30
21/05/2013,2797,2,14,07:00,08:30
21/05/2013,8182,2,15,07:00,08:30
21/05/2013,6323,2,16,07:00,08:30
21/05/2013,8182,2,17,07:00,08:30
21/05/2013,9107,2,18,07:00,08:30
21/05/2013,6996,2,19,07:00,08:30
21/05/2013,8466,2,20,07:00,08:30
21/05/2013,2943,2,1,14:00,15:30
21/05/2013,2780,2,2,14:00,15:30
21/05/2013,8182,2,3,14:00,15:30
21/05/2013,9976,2,4,14:00,15:30
21/05/2013,8182,2,5,14:00,15:30
21/05/2013,8808,2,6,14:00,15:30
21/05/2013,1291,2,7,14:00,15:30
21/05/2013,9267,2,8,14:00,15:30
21/05/2013,851,2,9,14:00,15:30
21/05/2013,7376,2,10,14:00,15:30
21/05/2013,8882,2,10,14:00,15:30
21/05/2013,8990,2,10,14:00,15:30
21/05/2013,3628,2,10,14:00,15:30
21/05/2013,8182,2,11,14:00,15:30
21/05/2013,8182,2,12,14:00,15:30
21/05/2013,7381,2,13,14:00,15:30
21/05/2013,2797,2,14,14:00,15:30
21/05/2013,8182,2,15,14:00,15:30
21/05/2013,6323,2,16,14:00,15:30
21/05/2013,8182,2,17,14:00,15:30
21/05/2013,9107,2,18,14:00,15:30
21/05/2013,6996,2,19,14:00,15:30
21/05/2013,8466,2,20,14:00,15:30
22/05/2013,648,3,1,07:00,08:30
22/05/2013,1291,3,2,07:00,08:30
22/05/2013,8182,3,3,07:00,08:30
22/05/2013,8182,3,4,07:00,08:30
22/05/2013,9267,3,5,07:00,08:30
22/05/2013,9976,3,6,07:00,08:30
22/05/2013,6554,3,7,07:00,08:30
22/05/2013,2943,3,8,07:00,08:30
22/05/2013,8182,3,9,07:00,08:30
22/05/2013,2797,3,10,07:00,08:30
22/05/2013,8182,3,11,07:00,08:30
22/05/2013,8182,3,12,07:00,08:30
22/05/2013,8182,3,13,07:00,08:30
22/05/2013,3628,3,14,07:00,08:30
22/05/2013,851,3,15,07:00,08:30
22/05/2013,8182,3,16,07:00,08:30
22/05/2013,6323,3,17,07:00,08:30
22/05/2013,6996,3,18,07:00,08:30
22/05/2013,9398,3,19,07:00,08:30
22/05/2013,8466,3,20,07:00,08:30
22/05/2013,648,3,1,14:00,15:30
22/05/2013,1291,3,2,14:00,15:30
22/05/2013,8182,3,3,14:00,15:30
22/05/2013,8182,3,4,14:00,15:30
22/05/2013,9267,3,5,14:00,15:30
22/05/2013,9976,3,6,14:00,15:30
22/05/2013,6554,3,7,14:00,15:30
22/05/2013,2943,3,8,14:00,15:30
22/05/2013,8182,3,9,14:00,15:30
22/05/2013,2797,3,10,14:00,15:30
22/05/2013,8182,3,11,14:00,15:30
22/05/2013,8182,3,12,14:00,15:30
22/05/2013,8182,3,13,14:00,15:30
22/05/2013,3628,3,14,14:00,15:30
22/05/2013,851,3,15,14:00,15:30
22/05/2013,8182,3,16,14:00,15:30
22/05/2013,6323,3,17,14:00,15:30
22/05/2013,6996,3,18,14:00,15:30
22/05/2013,9398,3,19,14:00,15:30
22/05/2013,8466,3,20,14:00,15:30
23/05/2013,8182,4,9,14:00,15:30
23/05/2013,6323,4,11,14:00,15:30
